"Actions","Actions"
"Add to Cart","Add to Cart"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Automatic layout position","Automatic layout position"
"Automatic layout position isn\'t specified","Automatic layout position isn\'t specified"
"Automatic Position","Automatic Position"
"Automation Settings","Automation Settings"
"Automation Type","Automation Type"
"Automation type isn\'t specified","Automation type isn\'t specified"
"Blind Up / Blind Down","Blind Up / Blind Down"
"Block","Block"
"Block ID","Block ID"
"Block ID isn\'t specified","Block ID isn\'t specified"
"Block Information","Block Information"
"Block name can\'t be empty","Block name can\'t be empty"
"Block succesfully saved","Block succesfully saved"
"Block with the same ID already exists in selected store views","Block with the same ID already exists in selected store views"
"Categories aren\'t specified or quantity limit is empty","Categories aren\'t specified or quantity limit is empty"
"Change...","Change..."
"Configuration cache has been successfully refreshed","Configuration cache has been successfully refreshed"
"Delete","Delete"
"Edit","Edit"
"Enabled","Enabled"
"Fade / Appear","Fade / Appear"
"Featured Products","Featured Products"
"General","General"
"Horizontal","Horizontal"
"ID","ID"
"Image","Image"
"Installed Representations","Installed Representations"
"In stock","In stock"
"Learn More","Learn More"
"List Blocks","List Blocks"
"Name","Name"
"No Image","No Image"
"No one category has been selected","No one category has been selected"
"No representation has been selected","No representation has been selected"
"Out of stock","Out of stock"
"Position","Position"
"Price","Price"
"Product Categories","Product Categories"
"Product Image","Product Image"
"Product Name","Product Name"
"Products aren\'t specified","Products aren\'t specified"
"Quantity Limit","Quantity Limit"
"Representation isn\'t specified","Representation isn\'t specified"
"Representation","Representation"
"Representation settings","Representation settings"
"Save And Continue Edit","Save And Continue Edit"
"Select All","Select All"
"Select Categories","Select Categories"
"Select Products","Select Products"
"Simple Slider","Simple Slider"
"SKU","SKU"
"Slide Up / Slide Down","Slide Up / Slide Down"
"Status","Status"
"Store ID isn\'t specified","Store ID isn\'t specified"
"Store View","Store View"
"The following symbols are allowed to be used in the \'Block ID\' field: a-z 0-9 - _","The following symbols are allowed to be used in the \'Block ID\' field: a-z 0-9 - _"
"Title","Title"
"Use Default Image","Use Default Image"
"Vertical","Vertical"
"You can change product images right after saving this block","You can change product images right after saving this block"
"Clear Configuration Cache","Clear Configuration Cache"
"Clear Thumbnails Cache","Clear Thumbnails Cache"
"Slider","Slider"
"Grid","Grid"
"Left Column","Left Column"
"Right Column","Right Column"
"Before Content","Before Content"
"Auto hide navigation","Auto hide navigation"
"Layout type","Layout type"
"Switch effect","Switch effect"
"Show product name","Show product name"
"Show details","Show details"
"Show price","Show price"
"Show ""Add to cart"" button","Show ""Add to cart"" button"
"Width, px","Width, px"
"Height, px","Height, px"
"Animation speed, seconds (0 disables animation)","Animation speed, seconds (0 disables animation)"
"Products in row","Products in row"
"Add Block","Add Block"
"All Automation types","All Automation types"
"Websites","Websites"
"All Current Category Automation Types","All Current Category Automation Types"
"None","None"
"Current Category Products","Current Category Products"
"Recently Added","Recently Added"
"Most Reviewed","Most Reviewed"
"Top Rated","Top Rated"
"Top Sellers","Top Sellers"
"Random Products","Random Products"
"Clear Configuration Cache","Clear Configuration Cache"
"Clear Thumbnails Cache","Clear Thumbnails Cache"
"Current Category Automation Type","Current Category Automation Type"